,country,date,count,adjusted_count,RATE_7_day_avg,source,population,F0,F1,RATE,std_error,ci_above,ci_below,jhu_past_100,category,num_sites,country_source
1078,Italy,2020-05-24,1.0,70.70499017726824,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.3135879120879129,-0.1460730017845394,True,4CE: All minus Severe,1.0,Italy_4CE
1079,Italy,2020-05-25,0.0,0.0,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.08375745515168674,0.08375745515168674,True,4CE: All minus Severe,1.0,Italy_4CE
1080,Italy,2020-05-26,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1081,Italy,2020-05-27,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1082,Italy,2020-05-28,0.0,0.0,0.016751491030338,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338,0.016751491030338,True,4CE: All minus Severe,1.0,Italy_4CE
1083,Italy,2020-05-29,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1084,Italy,2020-05-30,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1085,Italy,2020-05-31,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1086,Italy,2020-06-01,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1087,Italy,2020-06-02,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1088,Italy,2020-06-03,0.0,0.0,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.05025447309101237,0.05025447309101237,True,4CE: All minus Severe,1.0,Italy_4CE
1089,Italy,2020-06-04,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1090,Italy,2020-06-05,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1091,Italy,2020-06-06,0.0,0.0,0.016751491030338,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338,0.016751491030338,True,4CE: All minus Severe,1.0,Italy_4CE
1092,Italy,2020-06-07,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1093,Italy,2020-06-08,0.0,0.0,0.03350298206067519,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.03350298206067519,0.03350298206067519,True,4CE: All minus Severe,1.0,Italy_4CE
1094,Italy,2020-06-09,0.0,0.0,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.05025447309101237,0.05025447309101237,True,4CE: All minus Severe,1.0,Italy_4CE
1095,Italy,2020-06-10,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1096,Italy,2020-06-11,1.0,70.70499017726824,0.06700596412134956,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.29683642105757574,-0.1628244928148766,True,4CE: All minus Severe,1.0,Italy_4CE
1097,Italy,2020-06-12,1.0,70.70499017726824,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.3135879120879129,-0.1460730017845394,True,4CE: All minus Severe,1.0,Italy_4CE
